query	reference	scores
Tris(1,3-dichloro-2-propyl)phosphate	Tris(1,3-dichloro-2-propyl)phosphate	0.08647629618644714
Tri-p-cresyl-phosphate	Tri-p-cresyl-phosphate	0.4446445107460022
Tris(2-ethylhexyl) phosphate	Tris(2-ethylhexyl) phosphate	0.1727626621723175
Tris(2-chloroethyl) phosphate	Tris(2-chloroethyl) phosphate	0.16872406005859375
Monocrotophos	Monocrotophos	0.12302996218204498
Tris(1-chloro-2-propyl) phosphate	Tris(1-chloro-2-propyl) phosphate	0.04352385178208351
Tris(isopropylphenyl)phosphate	Tris(isopropylphenyl)phosphate	0.23435929417610168
Tris(3,5-xylenyl)phosphate	Tris(3,5-xylenyl)phosphate	0.3976899981498718
Tris(4-tert-butylphenyl) phosphate	Tris(4-tert-butylphenyl) phosphate	0.17663699388504028
Tri-m-cresyl phosphate	Tri-m-cresyl phosphate	0.438264399766922
Isodecyl diphenyl phosphate	Isodecyl diphenyl phosphate	0.13380777835845947
Tri-n-butyl-phosphate	Tri-n-butyl-phosphate	0.0
Dicrotophos	Dicrotophos	0.2082708328962326
Tris(2-butoxyethyl) phosphate	Tris(2-butoxyethyl) phosphate	0.06742837280035019
Triphenyl phosphate	Triphenyl phosphate	0.3487781882286072
Tri-o-cresyl phosphate	Tri-o-cresyl phosphate	0.35639193654060364
Endosulfan sulphate	Endosulfan sulphate	0.4193713963031769
Diazinone	Diazinone	0.06201165169477463
Methyl parathion	Methyl parathion	0.35950183868408203
Chlorpyrifos	Chlorpyrifos	0.09811960160732269
Temephos	Temephos	0.3834705352783203
1,2,5,6-Tetrabromocyclooctane	1,2,5,6-Tetrabromocyclooctane	0.34694865345954895
1,1-Dibromo-2,3,3,4,4,5-hexachloro-2-cyclopenta-2,4-dien-1-ylcyclooctane	1,1-Dibromo-2,3,3,4,4,5-hexachloro-2-cyclopenta-2,4-dien-1-ylcyclooctane	0.12360315769910812
Pirimicarb	Pirimicarb	0.6595154404640198
Cashmeran	Cashmeran	0.5579960942268372
Spiroxamine	Spiroxamine_isomer1	0.3233236074447632
Spiroxamine	Spiroxamine_isomer2	0.32457512617111206
Quinoxyfen	Quinoxyfen	0.4178943932056427
Acephate	Acephate	0.09281834959983826
Eucalyptol	Eucalyptol	0.5052756667137146
cis-Heptachlor epoxide	cis-Heptachlor epoxide	0.5288548469543457
7,12-Dimethylbenz[a]anthracene	7,12-Dimethylbenz[a]anthracene	0.480110228061676
Perylene	Perylene	0.5137686729431152
1-Methylphenanthrene	1-Methylphenanthrene	0.5633873343467712
Benzofluoranthene	Benzofluoranthene	0.5767423510551453
Dibenzanthracene	Dibenzanthracene	0.5301188230514526
Triphenylene	Triphenylene	0.605141282081604
1,4-Chrysenequinone	1,4-Chrysenequinone	0.45171070098876953
Hydroxychrysene	Hydroxychrysene	0.4493999183177948
Benzanthracene/Benzophenanthrene	Benzanthracene/Benzophenanthrene	0.5642834901809692
Benzo[ghi]fluoranthene	Benzo[ghi]fluoranthene	0.6075916886329651
Phenanthrene	Phenanthrene	0.724646270275116
Triadimenol	Triadimenol_isomer1	0.26987579464912415
Triadimenol	Triadimenol_isomer2	0.12375885993242264
Propoxur	Propoxur	0.14913836121559143
2-Bromoallyl(2,4,6-tribromophenyl) ether	2-Bromoallyl(2,4,6-tribromophenyl) ether	0.46409010887145996
Allyl 2,4,6-tribromophenyl ether	Allyl 2,4,6-tribromophenyl ether	0.443949818611145
Triadimefon	Triadimefon	0.49264848232269287
Estragole	Estragole	0.6954673528671265
Kresoxim-methyl	Kresoxim-methyl	0.5252967476844788
Isoeugenol	Isoeugenol	0.5325362086296082
2,4,6-Tribromophenol	2,4,6-Tribromophenol	0.6060572862625122
2-tert-Butyl-4-methoxyphenol	2-tert-Butyl-4-methoxyphenol	0.5197696685791016
Eugenol	Eugenol	0.5206222534179688
Endrin	Endrin	0.3039219081401825
Camphor	Camphor	0.511872410774231
Mirex	Mirex	0.5310234427452087
Endrin aldehyde	Endrin aldehyde	0.43526017665863037
Enzacamene	Enzacamene	0.5020604729652405
Endrin ketone	Endrin ketone	0.2686670124530792
Isomethyl-alpha-ionone	Isomethyl-alpha-ionone	0.48496243357658386
delta-Iraldeine	delta-Iraldeine	0.38967812061309814
Retene	Retene	0.6249724626541138
Ipconazole	Ipconazole	0.4936695694923401
trans-Resmethrin	trans-Resmethrin	0.44672974944114685
cis-Resmethrin	cis-Resmethrin	0.4342791736125946
Citral (Geranial)	Citral (Geranial)	0.3864061236381531
Limonene	Limonene	0.40572330355644226
Metconazole	Metconazole	0.49661627411842346
Pyrene	Pyrene	0.654289722442627
Benzo(a)pyrene	Benzo(a)pyrene	0.5523854494094849
Benzo(g,h,i)perylene	Benzo(g,h,i)perylene	0.5318890810012817
Indeno[1,2,3-cd]pyrene	Indeno[1,2,3-cd]pyrene	0.5645223259925842
Benzo[e]pyrene	Benzo[e]pyrene	0.5722989439964294
Coronene	Coronene	0.3668840825557709
Anthanthrene	Anthanthrene	0.5055922269821167
Chlorpyrifos oxon	Chlorpyrifos oxon	0.03262637183070183
17-alpha-Ethynylestradiol	17-alpha-Ethynylestradiol	0.4937131106853485
Estrone	Estrone	0.6109724044799805
Testosterone	Testosterone	0.4519693851470947
Progesterone	Progesterone	0.4608492851257324
17-beta-Estradiol	17-beta-Estradiol	0.5698459148406982
Epoxiconazole	Epoxiconazole	0.2575708031654358
Praziquantel	Praziquantel	0.33945393562316895
Tonalide	Tonalide	0.5686851143836975
Buprofezin	Buprofezin	0.45747074484825134
Metribuzin	Metribuzin	0.232548788189888
Prometryn	Prometryn	0.6303802728652954
Terbumeton	Terbumeton	0.48376351594924927
Methoprotryne	Methoprotryne	0.23152022063732147
Terbutryn	Terbutryn	0.47339850664138794
Prometon	Prometon	0.5734698176383972
Simetryn	Simetryn	0.6491020321846008
Atrazine	Atrazine	0.4789629578590393
Ametryn	Ametryn	0.650317370891571
Secbumeton	Secbumeton	0.4920090138912201
trans-Chlordane	trans-Chlordane	0.5755613446235657
cis-Chlordane	cis-Chlordane	0.6117813587188721
Heptachlor	Heptachlor	0.5109873414039612
Aldrin	Aldrin	0.4643869996070862
syn-Dechlorane plus	syn-Dechlorane plus	0.16859379410743713
anti-Dechlorane plus	anti-Dechlorane plus	0.1210647001862526
