Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
105,"2(3H)-Furanone, 4,5-dihydro-5-methoxy-4-(2,3-dimethyl-2-buten-4-yl)-",LGSHCFJZAMQQIF-UHFFFAOYSA-N,LGSHCFJZAMQQIF,32,198.13,NA,NA,NA,NA,10240,1,0.055555556,1.240914453,,high,410.799268,0.283808957
116,Epoxyfilifolone,UMXWFBSAWGHMMF-UHFFFAOYSA-N  ,UMXWFBSAWGHMMF,26,166.10,262,262,NA,NA,6602,1,0.052631579,1.030575077,,high,606.1015339,0.356644946
123,"Furan, 2,5-dihydro-",ARGCQEVBJHPOGB-UHFFFAOYSA-N ,ARGCQEVBJHPOGB,11,70.04,647,647,7.6,3,1949,1,0.0625,0.667031279,,high,950.2436417,0.605498967
125,"2-Oxetanone, 3,3-dimethyl-",ULKFLOVGORAZDI-UHFFFAOYSA-N ,ULKFLOVGORAZDI,15,100.05,NA,NA,NA,NA,1228,1,0.047619048,0.762067898,,high,509.3445509,0.406619987
132,"Furan, tetrahydro-3-methyl-4-methylene-",JJDXDJKPBZIXPI-UHFFFAOYSA-N  ,JJDXDJKPBZIXPI,17,98.07,584,584,0.42,16,2234,1,0.076923077,0.618200032,,high,695.9610606,0.607791492
142,"2-Oxetanone, 4-methyl-",GSCLMSFRWBPUSK-UHFFFAOYSA-N  ,GSCLMSFRWBPUSK,12,86.04,560,560,0,29,1643,1,0.076923077,0.750023276,,high,799.2941803,0.891502251
149,"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",SJQITXILEOCXGI-UHFFFAOYSA-N  ,SJQITXILEOCXGI,22,148.07,NA,NA,NA,NA,2202,1,0.05,0.984179478,,high,369.251753,0.170980985
150,"2,3-Dioxabicyclo[2.2.1]heptane",RNFXAEBUWFIOQW-UHFFFAOYSA-N ,RNFXAEBUWFIOQW,15,100.05,152,165,NA,NA,2445,1,0.045454545,1.106056597,,high,290.0066739,0.333162379
152,"Oxetane, 2,2-dimethyl-",XHYFCIYCSYEDCP-UHFFFAOYSA-N ,XHYFCIYCSYEDCP,16,86.07,527,527,1.02,27,2893,1,0.071428571,0.82257272,,high,600.5893806,0.516007262
155,"Ethanone, 1-(trimethyloxiranyl)-",WBHTXOSVODIGTN-UHFFFAOYSA-N  ,WBHTXOSVODIGTN,21,128.08,NA,NA,NA,NA,4431,1,0.038461538,2.292605532,,high,196.6365197,0.640600743
